"host_city","source_name","scale","theme","url","notes"
"New York/New Jersey","NYC Planning Open Data","Municipal","planning/land use/parcels","https://www.nyc.gov/site/planning/data-maps/open-data.page","Planning geography, zoning, land use, and PLUTO."
"New York/New Jersey","New Jersey Geographic Information Network","State","statewide GIS","https://njgin.nj.gov/","New Jersey statewide GIS clearinghouse."
"New York/New Jersey","Bergen County GIS Open Data","County","parcels/boundaries/facilities","https://gis-bergencountynj.opendata.arcgis.com/","County GIS for the stadium county."
"New York/New Jersey","New Jersey Transportation Open Data","State","transportation","https://njogis-newjersey.opendata.arcgis.com/pages/transportation","New Jersey transportation layers."
"New York/New Jersey","New York State GIS Clearinghouse","State","statewide GIS","https://gis.ny.gov/","New York statewide GIS resources."
"New York/New Jersey","NYMTC Data and Modeling","Regional","transportation/planning","https://www.nymtc.org/DATA-AND-MODELING","Regional transportation planning data."
"New York/New Jersey","NJ TRANSIT Developer Portal","Transit","API/transit","https://developer.njtransit.com/registration/login","Developer access for NJ TRANSIT data."
"New York/New Jersey","MTA Developer Resources","Transit","API/transit","https://new.mta.info/developers","New York transit feeds and data resources."
"Philadelphia","OpenDataPhilly","Municipal/regional","open data","https://opendataphilly.org/","Civic data catalog for Philadelphia and region."
"Philadelphia","Philadelphia CityGeo Open Data","Municipal","GIS/planning/public works","https://citygeo-phl.opendata.arcgis.com/","Official Philadelphia GIS layers."
"Philadelphia","DVRPC Data","Regional","transportation/planning/demographics","https://www.dvrpc.org/data/","Regional planning and travel data."
"Philadelphia","PASDA","State","statewide GIS","https://www.pasda.psu.edu/","Pennsylvania GIS clearinghouse."
"Philadelphia","PennDOT OneMap","State","transportation","https://gis.penndot.gov/onemap/","PennDOT transportation mapping."
"Philadelphia","PennShare Open Data","State","state agency GIS","https://data-pennshare.opendata.arcgis.com/","Pennsylvania state geospatial datasets."
"Philadelphia","SEPTA Developer Resources","Transit","GTFS/API/transit","https://www.septa.org/developer/","Transit feeds and APIs."
"San Francisco Bay Area","DataSF","Municipal","open data","https://datasf.org/opendata/","San Francisco open data program."
"San Francisco Bay Area","San Francisco Open Data","Municipal","open data","https://data.sfgov.org/","San Francisco Socrata data portal."
"San Francisco Bay Area","Santa Clara County GIS Open Data","County","county GIS","https://data-sccgov.opendata.arcgis.com/","County GIS for the stadium county."
"San Francisco Bay Area","Santa Clara Open Data","Municipal","venue municipality GIS","https://data-santaclara.opendata.arcgis.com/","City of Santa Clara GIS data."
"San Francisco Bay Area","San Jose Open Data","Municipal","open data","https://data.sanjoseca.gov/","San Jose civic datasets."
"San Francisco Bay Area","San Jose GIS Open Data","Municipal","GIS/planning/public works","https://gisdata-csj.opendata.arcgis.com/","San Jose GIS layers."
"San Francisco Bay Area","Metropolitan Transportation Commission Open Data","Regional","transportation/planning","https://opendata.mtc.ca.gov/","Bay Area regional transportation and planning data."
"San Francisco Bay Area","California State Geoportal","State","statewide GIS","https://gis.data.ca.gov/","California geospatial clearinghouse."
"San Francisco Bay Area","Caltrans GIS Data","State","transportation","https://gisdata-caltrans.opendata.arcgis.com/","State highway, traffic, project, crash, and asset data."
"San Francisco Bay Area","VTA Open Data","Transit","transit","https://data.vta.org/","Santa Clara Valley Transportation Authority datasets."
"San Francisco Bay Area","BART GTFS","Transit","GTFS/transit","https://www.bart.gov/schedules/developers/gtfs","BART schedule feed resources."
"Seattle","Seattle Open Data","Municipal","open data","https://data.seattle.gov/","Primary Seattle open data portal."
"Seattle","Seattle GeoData","Municipal","GIS/planning/public works","https://data-seattlecitygis.opendata.arcgis.com/","Seattle GIS layers."
"Seattle","King County GIS Open Data","County","county GIS","https://gis-kingcounty.opendata.arcgis.com/","Countywide GIS data."
"Seattle","Puget Sound Regional Council Data","Regional","planning/transportation/demographics","https://www.psrc.org/our-work/data","Regional planning data."
"Seattle","Washington Geospatial Open Data Portal","State","statewide GIS","https://geo.wa.gov/","Washington statewide GIS clearinghouse."
"Seattle","WSDOT Data","State","transportation","https://wsdot.wa.gov/about/data/","Washington transportation data and assets."
"Seattle","Sound Transit Open Transit Data","Transit","GTFS/transit","https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd","Regional rail and bus service data."
"Seattle","King County Metro Mobile and Web Apps","Transit","transit/apps","https://kingcounty.gov/en/dept/metro/rider-tools/mobile-and-web-apps","Metro app and service data resources."
